arquivo,TRWET_medio
MGMC.2008.349.trop,263.62152777777777
MGMC.2008.350.trop,273.76493055555557
MGMC.2008.351.trop,300.87638888888887
MGMC.2008.352.trop,296.50069444444443
MGMC.2008.353.trop,289.52812500000005
MGMC.2008.354.trop,220.4232638888889
MGMC.2008.355.trop,154.5809027777778
MGMC.2008.356.trop,224.13030303030303
MGMC.2008.357.trop,257.5864583333333
MGMC.2008.358.trop,281.3385416666667
MGMC.2008.359.trop,282.87291666666664
MGMC.2008.360.trop,281.23819444444445
MGMC.2008.361.trop,286.9152777777778
MGMC.2008.362.trop,303.6194444444444
MGMC.2008.363.trop,301.0697916666667
MGMC.2008.364.trop,253.22222222222223
MGMC.2008.365.trop,218.85227272727272
MGMC.2008.366.trop,185.0388888888889
MGMC.2009.002.trop,258.0513888888889
MGMC.2009.003.trop,273.4888888888889
MGMC.2009.004.trop,292.2079861111111
MGMC.2009.005.trop,305.5147651006711
MGMC.2009.006.trop,305.75381944444445
MGMC.2009.007.trop,299.33697916666665
MGMC.2009.009.trop,225.01319444444445
MGMC.2009.010.trop,166.9246527777778
MGMC.2009.011.trop,178.57847222222222
MGMC.2009.012.trop,230.83229166666666
MGMC.2009.013.trop,213.65416666666667
MGMC.2009.014.trop,158.33333333333334
MGMC.2009.015.trop,140.0090909090909
MGMC.2009.016.trop,229.381884057971
MGMC.2009.017.trop,260.3725694444445
MGMC.2009.018.trop,263.57588235294116
MGMC.2009.019.trop,286.58680555555554
MGMC.2009.020.trop,295.4597222222222
MGMC.2009.021.trop,289.6611111111111
MGMC.2009.022.trop,300.26944444444445
MGMC.2009.023.trop,288.97187499999995
MGMC.2009.024.trop,270.86284722222223
MGMC.2009.025.trop,267.09687499999995
MGMC.2009.026.trop,290.2878472222222
MGMC.2009.027.trop,262.0628472222222
MGMC.2009.028.trop,224.48560606060605
MGMC.2009.029.trop,145.89916666666667
MGMC.2009.030.trop,167.24062500000002
MGMC.2009.031.trop,177.19131944444445
MGMC.2009.032.trop,219.70694444444445
MGMC.2009.033.trop,211.8111111111111
MGMC.2009.035.trop,203.8357638888889
MGMC.2009.036.trop,201.7701388888889
MGMC.2009.037.trop,234.26666666666668
MGMC.2009.038.trop,259.8694444444444
MGMC.2009.039.trop,270.34015151515155
MGMC.2009.040.trop,262.1836956521739
MGMC.2009.041.trop,252.54275362318842
MGMC.2009.042.trop,191.86808510638295
MGMC.2009.043.trop,204.47083333333333
MGMC.2009.044.trop,242.78819444444446
MGMC.2009.045.trop,300.4534722222222
MGMC.2009.046.trop,218.74930555555557
MGMC.2009.047.trop,177.11562500000002
MGMC.2009.048.trop,182.57118055555554
MGMC.2009.049.trop,195.41145833333334
MGMC.2009.050.trop,172.70243055555557
MGMC.2009.051.trop,185.10902777777778
MGMC.2009.052.trop,185.4763888888889
MGMC.2009.053.trop,212.51666666666668
MGMC.2009.054.trop,201.91875
MGMC.2009.055.trop,221.94756944444444
MGMC.2009.056.trop,247.67569444444447
MGMC.2009.057.trop,194.01909722222223
MGMC.2009.058.trop,188.33159722222223
MGMC.2009.059.trop,148.18715277777778
MGMC.2009.060.trop,139.74513888888887
MGMC.2009.061.trop,125.49409722222224
MGMC.2009.062.trop,111.05763888888889
MGMC.2009.063.trop,155.37083333333334
MGMC.2009.064.trop,214.24409722222222
MGMC.2009.065.trop,242.01631944444443
MGMC.2009.066.trop,220.88159722222224
MGMC.2009.067.trop,243.8850694444444
MGMC.2009.068.trop,205.06145833333332
MGMC.2009.069.trop,163.1326388888889
MGMC.2009.070.trop,156.0767361111111
MGMC.2009.071.trop,134.55034722222223
MGMC.2009.072.trop,139.02743055555555
MGMC.2009.073.trop,155.42777777777778
MGMC.2009.074.trop,219.09895833333334
MGMC.2009.075.trop,244.79999999999998
MGMC.2009.076.trop,204.44375000000002
MGMC.2009.077.trop,237.03993055555554
MGMC.2009.079.trop,217.64548611111113
MGMC.2009.080.trop,238.7371527777778
MGMC.2009.081.trop,248.31041666666664
MGMC.2009.082.trop,280.8649305555556
MGMC.2009.083.trop,292.5440972222222
MGMC.2009.084.trop,298.3989583333333
MGMC.2009.085.trop,295.7868055555556
MGMC.2009.086.trop,300.7996527777778
MGMC.2009.087.trop,270.7861111111111
MGMC.2009.088.trop,282.83984962406015
MGMC.2009.089.trop,284.8333333333333
MGMC.2009.090.trop,277.11875
MGMC.2009.091.trop,295.91840277777777
MGMC.2009.092.trop,306.2842391304348
MGMC.2009.104.trop,224.30763888888887
MGMC.2009.105.trop,208.46363636363637
